C04424 C00579
C14857 C14865
C00450 C04076
C00041 CE0469
CE6228 CE6229
C03035 CE2437
C11378 C00601
C02737 C00416
C01190 C01290
CE1292 CE3038
C00309 C00199
C00155 CE1401
C00053 C00573
CE6238 C11304
C04090 C00145
C11439 C11440
CE7074 CE7072
C07281 C00986
C00350 C00416
CE5590 CE5589
C03820 CE6488
CE6460 CE6448
C02834 C00054
C00311 C05379
C00245 C05122
C01024 C05766
C00187 C01953
C04823 C04677
C04895 C00044
C14846 C14843
C05337 C04644
C01944 C02838
C00024 CE5319
C00437 C00077
C00024 CE5321
C00024 CE5320
C05933 C00533
C00800 C00191
C00621 C00110
G10597 G10596
C00410 C01176
CE5241 CE5250
C05301 CE5245
C06948 D00370
CE5126 CE5125
CE5752 CE5747
CE2952 CE5654
C14040 C14802
C03406 C00062
C14040 C14800
CE5179 CE5348
C00527 C00877
CE5586 CE1944
C00386 C00099
CE2435 CE2431
CE5547 CE5538
CE5941 CE5943
C05585 C00628
C00068 C00011
C00144 C00387
C04911 C04884
C00343 C03895
C00725 C00579
G00178 C00325
C05469 C05470
G00052 G00051
C00174 C00040
C00039 C02967
CE5536 CE5546
CE5930 CE5931
CE1938 CE1936
C00504 C00101
CE6499 CE6501
CE3554 CE2054
CE5536 CE5541
C05301 CE5254
C06157 C00527
C00951 CE2179
C00526 C00106
C04256 C04932
C02592 C00054
C02472 C01019
C05868 G10598
C05868 G10597
CE5252 CE5240
CE5252 CE5242
C05400 C00124
C00468 C05300
CE5922 CE5528
C00044 C05922
C00047 CE2102
C00174 C00071
C03363 CE0078
C01551 C00499
C02723 C06178
C01693 C05604
C03345 C01033
CE7078 C02737
C00708 C01060
C00116 C13856
C01972 C00021
C01755 C00957
G00141 G00151
CN0003 CN0004
CE3126 CE3134
C00046 C00008
C01628 C05849
C00043 C04789
C02041 CE2250
C00612 CE4788
CE6474 C00909
C01007 C00255
C00046 C00002
C00246 C00136
C03306 C04311
C09642 CE2196
C00425 C04575
C00083 C00222
C00262 C00294
CE1951 CE2705
C05584 C05583
C00696 C00427
C05309 C00472
C02617 C14785
G00009 G00008
C00219 CE5535
C02041 CE2243
C00219 CE5537
C01628 C05850
CE4722 CE2915
C02238 C03958
C00721 C00267
C05263 C05274
C00506 C05528
C01798 C00267
C00024 CE5307
C00212 C00294
C01346 C00460
C04853 CE2056
C00024 CE5309
C04853 CE2053
C00024 CE5308
CE4993 CE4994
C02592 C03990
C06132 G00057
C05335 C05336
CE7221 CE0347
CE1186 C00310
C00010 C05274
C00370 C04230
C00010 C05270
C00148 C01157
C05400 C00159
CE5965 C00346
C00705 C00112
C00355 C03758
C00527 C06157
CE7109 CE7113
C00362 C00361
CE7109 CE7112
C01644 C03127
CE5799 C00746
C00164 C01089
C05645 C03227
C00951 CE4712
C00235 C00129
G00155 C04825
CE5796 CE5794
CE6317 CE6316
C04901 C04750
C00188 C02992
C00670 C00093
C11713 C03012
C00738 C02965
C05274 C05275
C00677 C00013
CE3481 C13856
C04722 C04760
CE5655 CE4898
C00401 CE5901
CE0713 CE2421
C05695 C05689
C00052 C00611
C04874 C05650
C00062 C01201
C00315 CE1939
C00114 C04317
C05263 C05262
C00605 C00040
C05634 CE1918
C05274 C05263
C01978 C01449
C00312 C00379
CE4633 C00698
CE2251 CE2247
C04874 C04317
G00163 G00164
C00632 C03227
C03912 C00148
CE5786 C00123
C00164 C01061
C00459 C00039
C05642 CE5860
C00315 CE1940
C05760 C04688
C00362 C00330
CE2049 C14826
C03373 C04751
C00074 C00631
CE6501 CE0926
C06340 C05455
C04494 C01228
C06099 C11409
C00491 C00097
C00067 C00132
C00012 C00148
CE1349 CE1350
C00053 C04072
CE0785 CE2432
C00677 C00039
C01264 C03968
CE0784 CE2594
CE5152 CE5153
C04233 C00670
C00116 C00577
C00521 C00964
C00894 C05668
C03680 C00439
C00410 C03748
C00033 C05993
CE2510 CE5151
C00235 C05859
C00024 C03939
C06055 C06054
C00829 C14786
G00141 G00140
C02188 C03635
C00829 C14787
CE0785 CE2422
C00546 C03451
C00111 C03372
C00356 C00332
CE5896 CE5902
C00988 C00160
CE2245 CE2257
C02505 C00079
C00068 C03028
C14873 C14871
C00013 C00129
C01306 C04917
C14153 CE7144
CE5648 CE5647
CE5935 CE5941
C01649 C02702
CE0713 CE0849
C04432 C00066
CE5648 CE5649
C00128 C04926
C00219 CE5705
C00584 C04707
C02356 CE1661
C04295 C00535
CE5824 C01180
C00399 C04253
CE2882 CE2886
CE5797 C00123
C01033 C03345
C00430 C00931
CE2172 C00067
C00334 C02946
C00025 C00669
C05981 C04063
C07296 CE5938
C00183 C00141
CE5795 CE5794
CE5309 CE5313
C04805 CE6246
C01051 C03263
C04230 C00157
C00669 C01879
CE5935 CE5936
C06315 CE2567
C00061 C00016
C04827 C04801
C03735 C01171
CE5331 CE5329
CE5828 CE5534
CE6189 CE6192
C00735 C00762
C02238 CE1661
C02238 CE1665
CE4922 C00116
CE2418 CE2433
C00257 C00345
CE5169 CE5168
CE7084 CE7079
C02050 CE2434
C04637 CE5101
C03090 C00119
